mid,smiles,prop
0,c3ccc2nc1ccccc1cc2c3,-3.67
1,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456
2,CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.171
3,CC(C)c1ccc(C)cc1O,-2.22
4,Cc1ccc(cc1)S(=O)(=O)N,-1.74
5,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,-3.05
6,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.576
7,CCSCC,-1.34
8,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
9,C1Cc2cccc3cccc1c23,-4.63
10,Cc1ccccc1,-2.21
11,CC1=CCCCC1,-3.27
12,CCOc1ccc(NC(=O)C)cc1,-2.35
13,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402
14,CC#N,0.26
15,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
16,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39
17,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
18,C1CCOC1,0.49
19,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043
20,Oc1ccc(O)cc1,-0.17
21,CCC(C)(C)O,0.15
22,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
23,CC(C)OC(=O)C,-0.55
24,ClC(Cl)(Cl)Cl,-2.31
25,BrCBr,-1.17
26,CCCC(O)CC,-0.8
27,CCCCCCCO,-1.81
28,CC(C)CO,0.1
29,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28
30,CC(C)c1ccccc1,-3.27
31,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13
32,CSC,-0.45
33,CC(C)COC(=O)C,-1.21
34,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
35,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-4.376
36,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
37,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6
38,C1OC1c2ccccc2 ,-1.6
39,CCCCC(C)(O)CC,-1.6
40,CCCC(=O)OC,-1.92
41,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95
42,CCC(O)C(C)C,-0.7
43,O=C1NC(=O)C(=O)N1 ,-0.4
44,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6
45,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
46,CCC(=O)C,0.52
47,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99
48,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
49,O=c1[nH]cnc2nc[nH]c12 ,-2.296
50,Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624
51,CCCCCCCCCCCCCCCCCCCC,-8.172
52,CN(C)C(=O)SCCCCOc1ccccc1,-3.927
53,N(Nc1ccccc1)c2ccccc2 ,-2.92
54,OCCOc1ccccc1,-0.7
55,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42
56,CCCC(=O)C,-0.19
57,ClCC(C)C,-2.0
58,CC1(C)C2CCC1(C)C(O)C2,-2.32
59,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
60,C=CCCC=C,-2.68
61,CCCCCCCCCCCCCCO,-5.84
62,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736
63,COc1ccc(cc1)N(=O)=O,-2.41
64,CC(C)C=C,-2.73
65,CCOP(=O)(OCC)OCC,0.43
66,CNC(=O)C=C(C)OP(=O)(OC)OC,0.651
67,c1ccc2c(c1)[nH]c3ccccc32,-5.27
68,CNC(=O)Oc1ccccc1OC(C)C,-2.05
69,CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364
70,CN(=O)=O,0.26
71,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29
72,Brc1ccccc1Br,-3.5
73,COC(C)(C)C,-0.24
74,Cc1ccc(O)cc1,-0.73
75,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
76,Nc1nc[nH]n1,0.522
77,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
78,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
79,C1CCC=CCC1,-3.18
80,CCCOC(=O)C,-0.72
81,Clc1cccc2ccccc12,-3.93
82,COC=O,0.58
83,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
84,C1SC(=S)NC1(=O),-1.77
85,CCSCCSP(=S)(OC)OC,-3.091
86,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47
87,Brc1ccc(I)cc1,-4.56
88,CCC(C)(C)C,-3.55
89,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,-3.538
90,Nc1cc(nc(N)n1=O)N2CCCCC2 ,-1.989
91,CCCC=C(CC)C=O,-2.46
92,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
93,Clc2ccc1oc(=O)[nH]c1c2,-2.831
94,CCCCCC(C)C,-5.08
95,Cc1cccc2c1Cc3ccccc32,-5.22
96,O=C1NC(=O)NC(=O)C1(C)CC,-1.228
97,CCCCCCCCCO,-3.01
98,CCCOCCC,-1.62
99,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
100,CCCCCCCI,-4.81
101,CCCCCCCl,-3.12
102,CCC#C,-1.24
103,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
104,CC(=O)Nc1ccc(cc1)N(=O)=O,-2.692
105,CC(C)C1CCC(C)CC1O ,-2.53
106,c1ccc2c(c1)c3cccc4cccc2c34,-6.0
107,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
108,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
109,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21
110,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-4.24
111,Clc1ccc(Cl)c(Cl)c1,-3.59
112,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
113,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
